id,umisid,user_id,intake_id,degree_id,myear,credit,attempt,semester,grade_point,module_code,final_grade,final_marks,txn_datetime
4534,10009280,28,8,17,1,3,<blank>,NULL,2.30,CN101.3,C+,48,2021-01-19 00:00:00
4535,10009280,28,8,17,1,3,<blank>,NULL,4.00,CS101.3,A,74,2021-01-19 00:00:00
4536,10009280,28,8,17,1,3,<blank>,NULL,3.30,CS102.3,B+,63,2021-01-19 00:00:00
4537,10009280,28,8,17,1,3,<blank>,NULL,3.00,CS103.3,B,58,2021-01-19 00:00:00
4538,10009280,28,8,17,1,3,<blank>,NULL,2.30,CS104.3,C+,48,2021-01-19 00:00:00
4539,10009280,28,8,17,1,3,<blank>,NULL,3.00,CS105.3,B,57,2021-01-19 00:00:00
4540,10009280,28,8,17,1,3,<blank>,NULL,2.30,CS106.3,C+,54,2021-01-19 00:00:00
4541,10009280,28,8,17,1,3,<blank>,NULL,3.70,MA101.3,A-,68,2021-01-19 00:00:00
4542,10009280,28,8,17,1,3,<blank>,NULL,2.00,SE101.3,C,42,2021-01-19 00:00:00
4543,10009280,28,8,17,1,3,<blank>,NULL,3.70,SE102.3,A-,65,2021-01-19 00:00:00
4544,10009280,28,8,17,2,3,<blank>,NULL,3.00,CN201.3,B,56,2021-01-19 00:00:00
4545,10009280,28,8,17,2,3,<blank>,NULL,3.30,CS201.3,B+,62,2021-01-19 00:00:00
4546,10009280,28,8,17,2,3,<blank>,NULL,3.30,CS203.3,B+,60,2021-01-19 00:00:00
4547,10009280,28,8,17,2,3,<blank>,NULL,2.30,IS209.3,C+,53,2021-01-19 00:00:00
4548,10009280,28,8,17,2,3,<blank>,NULL,4.00,MA201.3,A,73,2021-01-19 00:00:00
4549,10009280,28,8,17,2,3,<blank>,NULL,2.00,SE201.3,C,44,2021-01-19 00:00:00
4550,10009280,28,8,17,2,3,<blank>,NULL,4.00,SE202.3,A,72,2021-01-19 00:00:00
4551,10009280,28,8,17,2,3,<blank>,NULL,2.30,SE204.3,C+,49,2021-01-19 00:00:00
4552,10009280,28,8,17,2,3,<blank>,NULL,3.00,SE205.3,B,56,2021-01-19 00:00:00
4553,10009280,28,8,17,2,3,<blank>,NULL,3.30,SE206.3,B+,61,2021-01-19 00:00:00
4554,10009280,28,8,17,3,3,<blank>,NULL,2.30,CS304.3,C+,45,2021-01-19 00:00:00
4555,10009280,28,8,17,3,3,<blank>,NULL,3.30,CS306.3,B+,64,2021-01-19 00:00:00
4556,10009280,28,8,17,3,3,<blank>,NULL,2.00,MA301.3,C,44,2021-01-19 00:00:00
4557,10009280,28,8,17,3,3,<blank>,NULL,3.00,SE207.3,B,58,2021-01-19 00:00:00
4558,10009280,28,8,17,3,3,<blank>,NULL,3.00,SE301.3,B,56,2021-01-19 00:00:00
4559,10009280,28,8,17,3,3,<blank>,NULL,4.00,SE303.3,A,70,2021-01-19 00:00:00
4560,10009280,28,8,17,3,3,<blank>,NULL,3.00,SE304.3,B,57,2021-01-19 00:00:00
4561,10009280,28,8,17,3,6,<blank>,NULL,3.00,SE305.6,B,55,2021-01-19 00:00:00
4562,10009280,28,8,17,3,3,<blank>,NULL,2.30,SE307.3,C+,54,2021-01-19 00:00:00
4563,10009280,28,8,17,4,3,<blank>,NULL,3.30,BS401.3,B+,61,2021-01-19 00:00:00
4564,10009280,28,8,17,4,3,<blank>,NULL,3.30,CN402.3,B+,62,2021-01-19 00:00:00
4565,10009280,28,8,17,4,3,<blank>,NULL,3.70,CS402.3,A-,67,2021-01-19 00:00:00
4566,10009280,28,8,17,4,3,<blank>,NULL,2.30,CS403.3,C+,52,2021-01-19 00:00:00
4567,10009280,28,8,17,4,3,<blank>,NULL,3.00,CS405.3,B,57,2021-01-19 00:00:00
4568,10009280,28,8,17,4,3,<blank>,NULL,3.70,CS407.3,A-,65,2021-01-19 00:00:00
4569,10009280,28,8,17,4,3,<blank>,NULL,3.00,IS402.3,B,59,2021-01-19 00:00:00
4570,10009280,28,8,17,4,6,<blank>,NULL,3.30,SE401.6,B+,61,2021-01-19 00:00:00
4571,10009280,28,8,17,4,3,<blank>,NULL,3.30,SE404.3,B+,61,2021-01-19 00:00:00
