id,umisid,degree_id,intake_id,myear,mmonth,amount,remarks,fee_type,msemester,module_code,txn_datetime,initial_mail,posting_date,inactive_mail_sem2,inactive_mail_sem1,third_reminder_sem2,third_reminder_sem1,first_reminder_sem2,first_reminder_sem1,second_reminder_sem2,second_reminder_sem1
146,22002779,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
147,22002788,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
148,22002821,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
149,22003202,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
150,22003239,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
151,22003241,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
152,22003335,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
153,22003379,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
154,22003421,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
155,22003541,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
156,22003643,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
157,22003656,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
158,22003661,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
159,22003748,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
160,22003779,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
161,22003802,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
162,22003815,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
163,22003839,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
164,22003868,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
165,22003899,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
166,21004002,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
167,22004021,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
168,22004079,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
169,22004099,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
170,22004188,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
171,22004201,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
172,22004248,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
173,22004441,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
174,22004519,1,12,1,NULL,400000.00,NULL,Degree Fee,NULL,NULL,2020-03-10 15:34:40,0,2020-03-10,0,0,0,0,0,0,0,0
